Run#,Vessel,Colony,Time,Pressure_Pa,Pressure_atm,VesselVol,TermPreWet,TermVol,PercSurv,WoodLabel,WoodVol,WoodPreDry,WoodPreWet,WoodPostDry,HSVol,WoodPerH2O,WoodLoss,WoodPerLoss
2,1,WH3,96,98396,0.9711,2279,4.65,4.51,,F12,55,26.33,35.993,25.856,2219,26.8,0.47,1.8
2,1,WH3,112,99191,0.9789,2279,4.65,4.51,,F12,55,26.33,35.993,25.856,2219,26.8,0.47,1.8
2,2,DW1,0,99474,0.9817,1965,5.1,4.95,,F10,65,26.6,51.64,26.235,1895,48.5,0.37,1.4
2,2,DW1,16,99479,0.9818,1965,5.1,4.95,,F10,65,26.6,51.64,26.235,1895,48.5,0.37,1.4
2,2,DW1,24,99158,0.9786,1965,5.1,4.95,,F10,65,26.6,51.64,26.235,1895,48.5,0.37,1.4
2,2,DW1,40,99139,0.9784,1965,5.1,4.95,,F10,65,26.6,51.64,26.235,1895,48.5,0.37,1.4
2,2,DW1,48,98792,0.975,1965,5.1,4.95,,F10,65,26.6,51.64,26.235,1895,48.5,0.37,1.4
2,2,DW1,64,98918,0.9762,1965,5.1,4.95,,F10,65,26.6,51.64,26.235,1895,48.5,0.37,1.4
2,2,DW1,72,98676,0.9739,1965,5.1,4.95,,F10,65,26.6,51.64,26.235,1895,48.5,0.37,1.4
2,2,DW1,88,98239,0.9695,1965,5.1,4.95,,F10,65,26.6,51.64,26.235,1895,48.5,0.37,1.4
2,2,DW1,96,98442,0.9715,1965,5.1,4.95,,F10,65,26.6,51.64,26.235,1895,48.5,0.37,1.4
2,2,DW1,112,99241,0.9794,1965,5.1,4.95,,F10,65,26.6,51.64,26.235,1895,48.5,0.37,1.4
2,4,WH3,0,99349,0.9805,2112,4.65,4.51,,A5,60,30.422,39.629,29.895,2047,23.2,0.53,1.7
2,4,WH3,16,99250,0.9795,2112,4.65,4.51,,A5,60,30.422,39.629,29.895,2047,23.2,0.53,1.7
2,4,WH3,24,99102,0.9781,2112,4.65,4.51,,A5,60,30.422,39.629,29.895,2047,23.2,0.53,1.7
